Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Cambodia;GDP per capita (current US$);539750168717216;631524842114382;745609180660928;738054783617506;785502282874113;882275492640073;950880345993697;10134204006154;109349619050796;116290491997151;127863106216298
Kiribati;GDP per capita (current US$);116844853098837;137445215276949;142812051619855;131199900201253;151681186907787;173501835782836;178850542068887;171576533141614;164276259749601;15425752495838;158480744578963
St. Kitts and Nevis;GDP per capita (current US$);138834231895556;151521349513103;164650502115688;157835841767816;15508616989766;165380965328384;160445569951052;16685026605354;180518900749728;180293255386512;188119451170299
Korea;KOR;186395222053842;208883801505326;230607078836716;204306394600807;182919195978633;220869529193201;24079788523886;243587821758226;258900186698906;2781136638377;27105076226264
Kuwait;GDP per capita (current US$);427813664951149;457822765557698;554949509906458;3756167266643;385773816572031;486188822913341;519789984836395;493882093931705;440624002975741;298695293908248;276531644010105
Latin America & Caribbean (excluding high income);GDP per capita (current US$);56595842353099;663209289004267;767271833173176;710601105877391;876027651189512;986215939095389;981586329988298;992757902243249;100528143620074;845382875903661;813789936324893
Lao PDR;GDP per capita (current US$);59063270735226;710344815049449;900323671821273;948653932285177;114059920478703;137836136494331;158139540349425;182566511330676;199833521471699;213471179567796;230880048220079
Lebanon;GDP per capita (current US$);46323127074456;521747171835617;613413043009095;737110063894951;775674406876812;770338947185733;798585494092208;7923851717266;771206284840621;76498326108624;763494654364282
Liberia;GDP per capita (current US$);33611567425435;396601761281558;478399937913334;470947619596855;513445698620224;596897081053795;657936256349955;721930055405248;721182794835652;710383857717515;714623392230031
Libya;GDP per capita (current US$);933635666999496;113001913436773;143825762948433;10275266564444;120647806924218;55541791642315;130252813934413;103637894894551;646691027014384;433791913919348;40351943155047
St. Lucia;GDP per capita (current US$);686032387167947;763204398870324;756845341379871;74250266722323;803747296712228;822739408163575;815199241336827;835890516938666;874429122441417;926225611518645;945205536381157
Latin America & Caribbean;GDP per capita (current US$);594967350501854;692514934000446;795379761068678;73892281305665;90591860460238;101855179166231;101778606425465;10317293219159;104078365837735;886292472605726;857158103674243
Least developed countries: UN classification;GDP per capita (current US$);518671669506171;608593330217483;737856865617968;719668094179662;806104763479826;902250517512448;945940041620906;100343002051001;105907438248399;102270488856422;100949268534164
Low income;GDP per capita (current US$);430338656629228;506220447016451;602218329449582;601803639160582;642002849956505;697763455650357;743517119583819;79948631559691;828979819206425;796012169545506;759048907733521
Liechtenstein;GDP per capita (current US$);11439059973152;130655636959737;143255981619193;126082492630969;141200380010278;158156599825792;149010224898665;173058317372602;178845631017897;167290939983907;165028245029187
Sri Lanka;GDP per capita (current US$);14358171774712;163038890604323;203732210302668;20904018261396;279964887619972;320083382914016;335052187589289;361028936304898;381925352972265;384378067184442;388629150165239
Lower middle income;GDP per capita (current US$);102717861337614;123886232804695;136634817286356;137737679817099;166241621618444;184956367653866;191149344638742;196625093947109;204027672400768;199603089092762;204923502517059
Low & middle income;GDP per capita (current US$);214703297487711;262561331983792;311063591341775;299735447383792;359026639440267;418450003174127;440799796835687;461170913758162;472024006479264;442007719124301;438244057531265
Lesotho;GDP per capita (current US$);904603402216593;863779631511433;884962674751359;89099638326859;119995176611775;139338636155716;132881307401803;124918349561088;12764130001565;111208144054711;111533607520903
